0,1.245871,0.68901443
1,1.4596986,0.69308203
2,1.4349941,0.6930743
3,1.4188842,0.6930278
4,1.4087692,0.69292367
5,1.6473702,0.3134688
6,1.6421458,0.31412035
7,1.6537961,0.31326216
8,1.6443825,0.31326345
9,1.6394128,0.31326696
10,1.6362422,0.31328988
11,1.6357505,0.31329858
12,1.484742,0.4334469
0,1.4958287,0.6919801
1,1.4650937,0.69301707
2,1.4409436,0.6929809
3,1.4239315,0.69274276
4,1.6754957,0.31496713
5,1.2526604,0.5760942
6,1.192623,0.6084264
7,1.4217072,0.6930877
8,1.4122415,0.69308275
9,1.4061769,0.6930172
10,1.3392673,0.49542484
11,1.2970496,0.57904613
12,1.2817812,0.65385354
13,1.3636127,0.630027
14,1.3401581,0.63549554
15,1.3894272,0.54216015
16,1.3769594,0.67330736
17,1.3979788,0.6770374
18,1.3848109,0.6787998
19,1.3651624,0.5879547
20,1.412183,0.6881096
21,1.4187176,0.6876082
22,1.3339837,0.5908214
23,1.3405068,0.5580512
24,1.371534,0.5297004
25,1.4014735,0.6861253
26,1.4188176,0.69081694
27,1.3944917,0.68556017
28,1.3173534,0.56666327
29,1.3308269,0.60367036
30,1.371713,0.6642503
31,1.3198586,0.6464743
32,1.3163681,0.62497056
33,1.353112,0.66724366
34,1.3238478,0.55574495
35,1.3397452,0.64672655
36,1.3066702,0.59610987
37,1.3111347,0.57456267
38,1.3523167,0.5925032
39,1.4127581,0.68982786
40,1.36031,0.67440504
41,1.3505542,0.66305053
42,1.4164414,0.46907485
43,1.3469431,0.6547519
44,1.326705,0.58423823
45,1.3474627,0.56111115
46,1.3272536,0.62535703
47,1.3680096,0.675999
48,1.3582199,0.6455999
49,1.3946472,0.6736982
50,1.3631791,0.53654885
